,StoreId,ItemId,ItemCategoryId,Category,Type,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,T2,T3,T6,T12
0,0,1000001,100.0,5.0,1.0,6.0,3.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0
1,1,1000001,100.0,5.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1000001,100.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,5.0,7.0,12.0
3,3,1000001,100.0,5.0,1.0,2.0,0.0,3.0,8.0,2.0,1.0,4.0,6.0,9.0,7.0,7.0,9.0,5.0,2.0,3.0,2.0,5.0,4.0,5.0,6.0,3.0,2.0,5.0,11.0,25.0,53.0
4,4,1000001,100.0,5.0,1.0,0.0,2.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0,6.0,5.0,7.0,4.0,8.0,6.0,3.0,5.0,6.0,9.0,14.0,8.0,12.0,20.0,34.0,54.0,87.0
5,5,1000001,100.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
6,6,1000001,100.0,5.0,1.0,6.0,2.0,4.0,1.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,10.0,18.0
7,7,1000001,100.0,5.0,1.0,5.0,8.0,9.0,3.0,5.0,4.0,3.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,0.0,2.0,2.0,6.0,14.0,22.0
8,8,1000001,100.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0
9,9,1000001,100.0,5.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0
10,10,1000001,100.0,5.0,1.0,12.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,15.0
11,11,1000001,100.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,11.0
12,12,1000001,100.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0
13,13,1000001,100.0,5.0,1.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,7.0,26.0
14,14,1000001,100.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
15,15,1000001,100.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
16,16,1000001,100.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,5.0,6.0,9.0
17,17,1000001,100.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0
18,0,1000002,100.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1,1000002,100.0,5.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
20,2,1000002,100.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,11.0
21,3,1000002,100.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,11.0
22,4,1000002,100.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
